Date,Symbol,Company,Open,High,Low,Close,PrevClose,Volume,TradedValue,Trades
19-06-2026,IDEA,VODAFONE IDEA LIMITED,14.98,15.16,14.83,14.92,15.01,416172167,6234340299,424199
19-06-2026,IFCI,IFCI LTD,82.8,87.98,82.7,85.73,82.31,205777880,17731354820,410809
19-06-2026,TATSILV,TATAAML-TATSILV,23,23,21.91,22.48,23.34,168073739,3734852071,142971
19-06-2026,SUZLON,SUZLON ENERGY LIMITED,58.44,60.45,58.21,59.2,58.44,139917727,8313256745,170434
19-06-2026,YESBANK,YES BANK LIMITED,25.43,25.6,25.25,25.41,25.48,132491220,3370437420,97401
19-06-2026,NIACL,THE NEW INDIA ASSU CO LTD,180,206.6,179.41,202.31,178.67,119622490,23663833657,569236
19-06-2026,OLAELEC,OLA ELECTRIC MOBILITY LTD,42.03,42.9,41.05,42.25,42.27,109127303,4573972915,154011
19-06-2026,GROWW,BILLIONBRAINS GARAGE VN L,201.1,202.84,197.65,199.87,200.54,92308697,18462554796,170886
19-06-2026,RBA,RESTAURANT BRAND ASIA LTD,69.89,78.8,69.3,73.67,69.69,77847711,5737003536,164772
19-06-2026,ZEEL,ZEE ENTERTAINMENT ENT LTD,112,117.79,110.66,113.36,111.78,75042015,8642353973,206739
19-06-2026,MEESHO,MEESHO LIMITED,170.72,179.3,165.05,173.56,170.72,71815467,12291317628,285124
19-06-2026,BHARATCOAL,BHARAT COKING COAL LTD,42.47,43.76,41.85,42.37,42.55,71566271,3059078606,103692
19-06-2026,MCLOUD,MAGELLANIC CLOUD LIMITED,32.29,34.29,28.61,29.24,31.53,61411454,1956581738,109912
19-06-2026,SBC,SBC EXPORTS LIMITED,40.3,45,40.1,43.59,39.88,59439267,2565153968,92271
19-06-2026,HCC,HINDUSTAN CONSTRUCTION CO,27.34,27.68,26.71,27.02,27.35,57016131,1548919507,49127
19-06-2026,GTLINFRA,GTL INFRA.LTD,1.53,1.56,1.51,1.52,1.53,56527766,86245038.11,21940
19-06-2026,PINELABS,PINE LABS LIMITED,149.5,156,149.2,152.31,149.83,51017033,7814890016,143566
19-06-2026,TATACAP,TATA CAPITAL LIMITED,345.5,379.95,342.6,366.8,345.45,47899182,17511403599,155413
19-06-2026,ADANIPOWER,ADANI POWER LTD,231.71,234.23,227.81,231.76,230.57,46115820,10687992896,151599
19-06-2026,INFY,INFOSYS LIMITED,1062.3,1066,1030,1051.4,1127.5,45665442,47666665586,765616
19-06-2026,MOTISONS,MOTISONS JEWELLERS LTD,14.16,14.8,13.9,14.33,14.16,45375413,650877044,38604
19-06-2026,JPPOWER,JAIPRAKASH POWER VEN. LTD,18.07,18.2,17.93,18.06,18.16,44890371,810855487.8,30109
19-06-2026,PCJEWELLER,PC JEWELLER LTD,8.93,8.99,8.84,8.91,8.93,44829041,399385718.1,18298
19-06-2026,TARIL,TRANS & RECTI. LTD,326.7,372,325,357.55,324.85,41817664,14993050568,388199
19-06-2026,LLOYDSENGG,LLOYDS ENGG WORK LIMITED,84.5,87.4,81.29,86.84,84.76,41805397,3548473146,113530
19-06-2026,WIPRO,WIPRO LTD,176.76,181.48,174.89,180.8,182.84,37469436,6671799707,194008
19-06-2026,LENSKART,LENSKART SOLUTIONS LTD,505.05,521.6,502.25,511.95,505.05,36824632,18841552422,109443
19-06-2026,SEPC,SEPC LIMITED,7.19,7.55,7.06,7.47,7.19,36529793,269696197.3,18310
19-06-2026,ALLCARGO,ALLCARGO LOGISTICS LTD,9.1,9.24,8.2,8.67,9.1,35408497,308137600.6,17841
