TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-30,2026-06-30,CM,NSE,STK,14366,INE669E01016,IDEA,EQ,,,,,VODAFONE IDEA LIMITED,14.45,14.63,14.29,14.46,14.45,14.43,,14.46,,,489723933,7094446597.61,717803,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,24777,INE0LXG01040,OLAELEC,EQ,,,,,OLA ELECTRIC MOBILITY LTD,40.58,44.95,40.45,43.76,43.75,40.38,,43.76,,,453847143,19811293241.91,495978,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,750290,INE1CLE01013,VISL,EQ,,,,,VEDANTA IRON AND STEEL L,33.9,35.66,32.45,35.26,35.66,32.42,,35.26,,,235299018,8201273866.65,446702,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,11915,INE528G01035,YESBANK,EQ,,,,,YES BANK LIMITED,25.25,25.34,24.1,24.18,24.24,25.09,,24.18,,,160293573,3933609938.81,123378,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,11794,INE667G01023,SAKSOFT,EQ,,,,,SAKSOFT LIMITED,191.33,212.47,187.45,206.71,206.8,183.77,,206.71,,,127442086,26053282777.69,581797,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,12018,INE040H01021,SUZLON,EQ,,,,,SUZLON ENERGY LIMITED,57.46,59.1,57.31,58.9,58.9,57.21,,58.9,,,120994413,7054750100.3,137965,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,21428,INF277KA1984,TATSILV,EQ,,,,,TATAAML-TATSILV,21.0,21.78,20.99,21.64,21.65,21.14,,21.64,,,67472169,1449594123.06,60254,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,30125,INE148I01020,SAMMAANCAP,EQ,,,,,SAMMAAN CAPITAL LIMITED,170.0,178.05,169.4,173.62,174.0,167.64,,173.62,,,67228483,11670461126.3,124302,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,13745,INE221H01019,GTLINFRA,EQ,,,,,GTL INFRA.LTD,1.37,1.42,1.36,1.38,1.39,1.36,,1.38,,,63038113,87500115.01,13016,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,750368,INE704J01044,VOGL,EQ,,,,,VEDANTA OIL AND GAS LTD,32.8,34.22,31.17,32.24,32.3,33.17,,32.25,,,58776153,1926666041.64,108053,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,11905,INE955D01029,GENUSPOWER,EQ,,,,,GENUS POWER INFRASTRU LTD,295.5,302.3,282.1,299.4,300.05,318.45,,299.4,,,55548232,16196989754.6,352791,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,2259,INE083A01026,MOREPENLAB,EQ,,,,,MOREPEN LAB. LTD,55.45,60.5,55.05,59.12,59.65,54.66,,59.12,,,53543433,3152869507.87,125377,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,759806,INE0HOQ01053,GROWW,EQ,,,,,BILLIONBRAINS GARAGE VN L,202.93,207.01,200.82,202.07,202.0,202.92,,202.07,,,50480864,10356203948.19,195400,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,750518,INE694L01019,VEDPOWER,EQ,,,,,VEDANTA POWER LIMITED,40.8,42.3,39.41,40.28,40.37,41.3,,40.28,,,47764781,1928881488.78,114957,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,11763,INE351F01018,JPPOWER,EQ,,,,,JAIPRAKASH POWER VEN. LTD,18.0,18.0,17.6,17.67,17.7,17.81,,17.67,,,47412104,839270946.89,29133,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,1333,INE040A01034,HDFCBANK,EQ,,,,,HDFC BANK LTD,806.1,806.1,792.75,797.95,800.45,798.9,,797.95,,,45778356,36561096124.85,507833,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,2792,INE07O001026,EASEMYTRIP,EQ,,,,,EASY TRIP PLANNERS LTD,6.98,7.12,6.89,6.9,6.91,7.0,,6.9,,,45156396,314277723.61,16061,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,10794,INE476A01022,CANBK,EQ,,,,,CANARA BANK,126.9,127.13,124.61,125.52,125.94,125.86,,125.5,,,44899446,5639166902.95,106924,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,29124,INE785M01021,PCJEWELLER,EQ,,,,,PC JEWELLER LTD,8.54,8.87,8.48,8.76,8.79,8.53,,8.76,,,43884303,382738009.71,20022,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,15308,INE964H01014,SEPC,EQ,,,,,SEPC LIMITED,6.46,6.62,6.31,6.45,6.48,6.43,,6.45,,,43539319,280616496.89,14139,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,15259,INE614G01033,RPOWER,EQ,,,,,RELIANCE POWER LTD.,24.2,25.3,24.2,24.84,24.95,24.14,,24.84,,,42654691,1056021871.19,53350,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,15332,INE584A01023,NMDC,EQ,,,,,NMDC LTD.,85.45,86.09,83.92,85.16,85.2,85.45,,85.16,,,41478341,3519018173.8,89338,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,13528,INE776C01039,GMRAIRPORT,EQ,,,,,GMR AIRPORTS LIMITED,110.0,113.36,109.75,112.09,112.49,109.42,,112.09,,,37519820,4212213525.64,107039,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,3499,INE081A01020,TATASTEEL,EQ,,,,,TATA STEEL LIMITED,189.5,190.4,187.05,188.06,188.73,189.57,,188.06,,,33686235,6342013503.46,192566,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,5097,INE758T01015,ETERNAL,EQ,,,,,ETERNAL LIMITED,260.2,266.7,257.3,264.6,265.2,259.4,,264.6,,,32940948,8649557240.65,153714,F1,1,,,,,
