Date,Rank,Stock,CMP,Volume,ReturnPct,Score,ExpectedReturn
2026-05-17 00:00:00,1,ITC,521,8078673,-2.28,63.6,2.01
2026-05-17 00:00:00,2,HDFCBANK,1774,1445199,1.43,87.2,4.45
2026-05-17 00:00:00,3,INFY,3577,4698379,0.64,70.6,5.32
2026-05-17 00:00:00,4,TITAN,3560,8090293,-0.12,65.9,5.78
2026-05-17 00:00:00,5,SBIN,906,2714803,-1.85,63.7,5.21
2026-05-17 00:00:00,6,LT,3874,5437923,3.15,87.7,3.59
2026-05-17 00:00:00,7,AXISBANK,1216,2322047,1.36,91.5,4.02
2026-05-17 00:00:00,8,ICICIBANK,1462,10686361,-1.15,62.6,4.24
2026-05-17 00:00:00,9,RELIANCE,1594,2338687,3.49,92.9,2.78
2026-05-17 00:00:00,10,TCS,3986,11665015,3.34,66.2,2.65
2026-05-18 00:00:00,1,RELIANCE,1589,11737414,2.32,68.3,2.49
2026-05-18 00:00:00,2,ITC,384,4842788,3.25,90.6,2.89
2026-05-18 00:00:00,3,HDFCBANK,1636,4539704,3.89,81.6,4.53
2026-05-18 00:00:00,4,LT,3774,11996436,0.99,93.6,4.14
2026-05-18 00:00:00,5,TITAN,3556,5443951,-1.52,88.3,3.6
2026-05-18 00:00:00,6,SBIN,969,8187926,3.78,75.2,1.94
2026-05-18 00:00:00,7,AXISBANK,1155,9548432,0.95,88.7,5.28
2026-05-18 00:00:00,8,INFY,3509,11526797,-1.38,85.9,3.9
2026-05-18 00:00:00,9,TCS,3968,7402509,1.67,77.8,2.11
2026-05-18 00:00:00,10,ICICIBANK,1511,1192619,2.26,64.4,5.4
2026-05-19 00:00:00,1,LT,3848,3997281,1.05,64,4.05
2026-05-19 00:00:00,2,AXISBANK,1249,11216824,-1.11,74.2,1.64
2026-05-19 00:00:00,3,RELIANCE,1655,1009594,1.69,78.6,1.38
2026-05-19 00:00:00,4,TITAN,3612,6159230,-0.82,69.2,3.75
2026-05-19 00:00:00,5,ITC,390,2437026,2.62,91,5.89
2026-05-19 00:00:00,6,HDFCBANK,1756,3109911,-1.6,78.1,3.66
2026-05-19 00:00:00,7,INFY,3537,9852897,3.61,76.1,1.9
2026-05-19 00:00:00,8,TCS,4008,4374754,2.49,75.2,4.29
2026-05-19 00:00:00,9,SBIN,915,8350099,3.8,77.2,2.09
2026-05-19 00:00:00,10,ICICIBANK,1386,6672134,-2.35,81,3.86
2026-05-20 00:00:00,1,LT,3791,9143903,-1,65,5.66
2026-05-20 00:00:00,2,HDFCBANK,1766,10667227,0.81,89.8,5
2026-05-20 00:00:00,3,ICICIBANK,1418,2582524,-1.82,76.4,3
2026-05-20 00:00:00,4,INFY,3589,1908841,2.21,97.4,1.31
2026-05-20 00:00:00,5,SBIN,923,6692553,3.1,64.2,1.8
2026-05-20 00:00:00,6,ITC,507,8526486,-1.52,67,3.21
2026-05-20 00:00:00,7,TITAN,3539,8434500,3.16,92.5,1.31
2026-05-20 00:00:00,8,AXISBANK,1258,1247595,4.28,95.2,5.21
2026-05-20 00:00:00,9,TCS,3912,7818496,0.9,68.1,2.89
2026-05-20 00:00:00,10,RELIANCE,1535,3762152,0.15,97.4,2.18
2026-05-21 00:00:00,1,TCS,3945,4652414,4.28,82,3.62
2026-05-21 00:00:00,2,INFY,3550,1959074,-2.15,78.1,5.58
2026-05-21 00:00:00,3,RELIANCE,1655,3641282,-2.1,79.3,5.23
2026-05-21 00:00:00,4,HDFCBANK,1637,10983032,-2.02,92.7,2.9
2026-05-21 00:00:00,5,TITAN,3665,5130808,1.55,61.5,1.23
2026-05-21 00:00:00,6,AXISBANK,1269,10482934,1.16,95.5,1.86
2026-05-21 00:00:00,7,SBIN,900,5004485,-0.64,65,4.16
2026-05-21 00:00:00,8,LT,3837,6304573,4,95.6,0.85
2026-05-21 00:00:00,9,ICICIBANK,1529,10445465,4.47,62.8,1.91
2026-05-21 00:00:00,10,ITC,437,3222252,4.03,93.5,5.37
2026-05-22 00:00:00,1,LT,3746,3253031,-0.65,93.8,4.66
2026-05-22 00:00:00,2,TCS,3909,5569244,-0.53,68,2.58
2026-05-22 00:00:00,3,AXISBANK,1187,9479356,0.92,94.4,5.2
2026-05-22 00:00:00,4,RELIANCE,1543,11641527,0.47,70.5,0.82
2026-05-22 00:00:00,5,ITC,403,11688988,4.36,66.1,3.1
2026-05-22 00:00:00,6,TITAN,3629,10410455,-2.43,62.9,5.39
2026-05-22 00:00:00,7,HDFCBANK,1658,10153486,-2.25,74,3.67
2026-05-22 00:00:00,8,INFY,3580,3138181,-2.21,73.9,5.65
2026-05-22 00:00:00,9,ICICIBANK,1380,7003042,-1.03,69.5,1.33
2026-05-22 00:00:00,10,SBIN,963,7817881,4.32,88.5,5.61
2026-05-23 00:00:00,1,LT,3788,3670896,3.01,64.1,5.34
2026-05-23 00:00:00,2,SBIN,940,4731818,-1.1,94.9,2.62
2026-05-23 00:00:00,3,ICICIBANK,1428,4740036,-2.33,67.3,2.51
2026-05-23 00:00:00,4,ITC,387,5682940,-0.04,79.4,4.33
2026-05-23 00:00:00,5,TCS,4007,6555772,4.07,64.4,5.85
2026-05-23 00:00:00,6,RELIANCE,1565,10740679,4.24,70.1,1.36
