TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-13,2026-07-13,CM,NSE,STK,29124,INE785M01021,PCJEWELLER,EQ,,,,,PC JEWELLER LTD,9.99,10.14,9.7,9.92,9.89,9.99,,9.92,,,454387491,4506706166.98,221022,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,14366,INE669E01016,IDEA,EQ,,,,,VODAFONE IDEA LIMITED,14.1,14.17,13.93,13.96,13.95,14.19,,13.96,,,234457573,3283114321.1,294293,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,2955,INE303R01014,KALYANKJIL,EQ,,,,,KALYAN JEWELLERS IND LTD,470.5,531.9,469.0,510.65,511.35,476.15,,510.65,,,154485625,78923811698.05,892993,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,750290,INE1CLE01013,VISL,EQ,,,,,VEDANTA IRON AND STEEL L,35.4,36.41,35.2,36.41,36.41,34.68,,36.41,,,92593863,3345849756.28,87913,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,20788,INE0FRK01020,MOTISONS,EQ,,,,,MOTISONS JEWELLERS LTD,14.16,14.72,14.03,14.25,14.23,14.2,,14.25,,,65063082,931456748.6,39721,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,18520,INE509F01029,CUPID,EQ,,,,,CUPID LIMITED,212.24,215.25,205.0,206.83,207.99,212.24,,206.83,,,60588172,12702578636.82,293007,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,2513,INE412G01024,BCLIND,EQ,,,,,BCL INDUSTRIES LIMITED,33.5,39.6,33.5,37.16,38.19,34.24,,37.16,,,58370999,2230267424.16,171309,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,750368,INE704J01044,VOGL,EQ,,,,,VEDANTA OIL AND GAS LTD,39.0,39.89,38.61,38.97,38.87,38.74,,38.97,,,54872010,2145991098.67,117080,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,11915,INE528G01035,YESBANK,EQ,,,,,YES BANK LIMITED,23.8,23.93,23.6,23.78,23.8,23.94,,23.78,,,51935772,1232398433.33,67340,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,759820,INE15B701018,PINELABS,EQ,,,,,PINE LABS LIMITED,146.0,156.6,145.31,155.14,155.91,145.27,,155.15,,,50633391,7773457861.58,221919,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,3499,INE081A01020,TATASTEEL,EQ,,,,,TATA STEEL LIMITED,189.0,189.27,185.4,187.11,187.18,191.19,,187.11,,,47597415,8896577266.76,253916,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,21428,INF277KA1984,TATSILV,EQ,,,,,TATAAML-TATSILV,20.99,21.15,20.73,21.08,21.08,21.21,,21.08,,,45491760,953011333.0,74857,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,24777,INE0LXG01040,OLAELEC,EQ,,,,,OLA ELECTRIC MOBILITY LTD,40.09,40.78,39.56,40.32,40.23,40.41,,40.32,,,42164795,1699857351.63,84927,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,12018,INE040H01021,SUZLON,EQ,,,,,SUZLON ENERGY LIMITED,53.6,53.63,52.92,53.17,53.23,53.92,,53.17,,,40687795,2165177149.91,80153,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,750518,INE694L01019,VEDPOWER,EQ,,,,,VEDANTA POWER LIMITED,41.5,42.49,41.11,41.43,41.5,41.83,,41.43,,,36357613,1516190577.32,69654,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,759806,INE0HOQ01053,GROWW,EQ,,,,,BILLIONBRAINS GARAGE VN L,202.19,209.73,201.0,208.18,208.99,204.47,,208.18,,,36096879,7462041606.0,183019,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,17801,INE093R01011,LLOYDSENGG,EQ,,,,,LLOYDS ENGG WORK LIMITED,89.4,95.1,89.26,90.82,90.6,90.6,,90.82,,,35663051,3302369010.03,114907,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,1076,INE520A01027,ZENSARTECH,EQ,,,,,ZENSAR TECHNOLOGIES  LTD,504.0,547.4,496.1,540.2,541.5,508.25,,540.2,,,33053195,17612338679.1,391785,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,13745,INE221H01019,GTLINFRA,EQ,,,,,GTL INFRA.LTD,1.33,1.35,1.3,1.31,1.31,1.33,,1.31,,,32922567,43489062.64,13324,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,1164,INE619B01017,NEWGEN,EQ,,,,,NEWGEN SOFTWARE TECH LTD,511.95,607.0,507.05,590.5,585.85,517.2,,590.5,,,32487365,18683808896.25,419717,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,6596,INE269A01021,SONATSOFTW,EQ,,,,,SONATA SOFTWARE LTD,285.0,329.5,281.5,316.05,313.05,285.35,,316.05,,,31028990,9823584242.2,235689,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,10753,INE692A01016,UNIONBANK,EQ,,,,,UNION BANK OF INDIA,163.0,170.75,162.51,170.39,170.7,164.51,,170.39,,,30404181,5115204687.0,106815,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,11377,INE457A01014,MAHABANK,EQ,,,,,BANK OF MAHARASHTRA,83.57,84.71,81.9,82.56,82.55,84.25,,82.56,,,29829138,2467697293.95,98474,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,6579,INE02NC01014,FINOPB,EQ,,,,,FINO PAYMENTS BANK LTD,143.0,162.48,142.22,161.33,161.99,135.4,,161.32,,,29573133,4537642143.4,147057,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,11763,INE351F01018,JPPOWER,EQ,,,,,JAIPRAKASH POWER VEN. LTD,16.9,16.92,16.72,16.79,16.85,17.02,,16.79,,,29220538,491395511.44,25714,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,15228,INE551W01018,UJJIVANSFB,EQ,,,,,UJJIVAN SMALL FINANC BANK,65.0,67.0,64.02,66.87,67.0,65.27,,66.87,,,28602924,1882732536.33,93536,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,24610,INE005B01027,AVANTEL,EQ,,,,,AVANTEL LIMITED,186.49,197.77,182.2,183.76,182.75,180.19,,183.76,,,27633446,5223086614.06,170904,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,17388,INE814H01029,ADANIPOWER,EQ,,,,,ADANI POWER LTD,217.1,218.78,215.1,215.46,215.24,218.45,,215.46,,,26415659,5723198208.4,113986,F1,1,,,,,
2026-07-13,2026-07-13,CM,NSE,STK,3812,INE256A01028,ZEEL,EQ,,,,,ZEE ENTERTAINMENT ENT LTD,97.05,101.7,96.3,101.33,101.2,97.47,,101.33,,,26171393,2595603131.77,77767,F1,1,,,,,
